Oraș,Cartier,Tip,Suprafață (mp),Nr. camere,Etaj,An construcție,Preț (EUR),Preț/mp (EUR)
București,Dorobanți,Casă,175,6,,1967.0,390000,2226
Cluj-Napoca,Centru,Apartament,53,1,0.0,1983.0,141000,2653
București,Dorobanți,Casă,82,4,,2023.0,234000,2856
București,Drumul Taberei,Apartament,84,2,,1988.0,120000,1425
București,Pipera,Apartament,44,2,2.0,1963.0,87000,1983
București,Berceni,Apartament,94,1,6.0,2022.0,143000,1518
București,Pantelimon,Casă,151,6,,2002.0,202000,1336
București,Pipera,Casă,116,3,,1978.0,255000,2198
București,Dorobanți,Apartament,90,4,2.0,1940.0,189000,2096
București,Ilfov / Voluntari,Casă,154,3,,1976.0,243000,1575
Cluj-Napoca,Zorilor,Casă,159,3,,2006.0,420000,2643
București,Drumul Taberei,Apartament,64,2,3.0,1978.0,78000,1223
București,Victoriei,Apartament,44,2,,2019.0,95000,2161
București,Floreasca,Casă,175,3,,1968.0,377000,2157
Cluj-Napoca,Zorilor,Casă,162,5,,1979.0,356000,2196
Cluj-Napoca,Bună Ziua,Casă,205,3,,2019.0,500000,2440
Cluj-Napoca,Florești,Apartament,99,2,1.0,1938.0,151000,1524
Cluj-Napoca,Grigorescu,Apartament,83,1,6.0,1983.0,166000,2003
Cluj-Napoca,Bună Ziua,Apartament,75,2,9.0,1984.0,157000,2099
Cluj-Napoca,Andrei Mureșanu,Casă,150,4,,2022.0,487000,3248
București,Dorobanți,Apartament,85,2,7.0,2016.0,257000,3023
București,Pipera,Casă,217,5,,1961.0,483000,2225
Cluj-Napoca,Florești,Casă,82,3,,2010.0,185000,2260
București,Drumul Taberei,Apartament,28,4,2.0,1985.0,36000,1288
București,Ilfov / Voluntari,Casă,183,4,,1990.0,278000,1521
București,Militari,Apartament,35,3,8.0,2016.0,57000,1625
Cluj-Napoca,Florești,Apartament,77,3,,2014.0,167000,2169
București,Aviației,Apartament,116,2,3.0,2007.0,272000,2346
București,Floreasca,Casă,147,5,,1998.0,331000,2253
București,Băneasa,Casă,140,5,,2023.0,402000,2873
București,Ilfov / Voluntari,Casă,176,4,,1973.0,266000,1510
Cluj-Napoca,Andrei Mureșanu,Apartament,103,4,10.0,1956.0,237000,2300
București,Victoriei,Apartament,41,2,4.0,1986.0,81000,1976
București,Floreasca,Apartament,82,2,10.0,2022.0,206000,2515
București,Berceni,Apartament,72,1,,1988.0,87000,1213
Cluj-Napoca,Grigorescu,Apartament,64,3,7.0,1998.0,143000,2235
Cluj-Napoca,Andrei Mureșanu,Apartament,93,3,8.0,2000.0,269000,2893
Cluj-Napoca,Gheorgheni,Apartament,100,1,2.0,1987.0,209000,2086
Cluj-Napoca,Mănăștur,Apartament,51,3,0.0,1979.0,67000,1310
București,Pipera,Casă,179,4,,1988.0,393000,2193
București,Aviației,Apartament,54,1,0.0,2021.0,130000,2406
București,Floreasca,Apartament,77,3,2.0,1964.0,200000,2599
București,Aviației,Apartament,28,2,9.0,1989.0,54000,1925
Cluj-Napoca,Florești,Casă,110,4,,1998.0,187000,1701
Cluj-Napoca,Andrei Mureșanu,Apartament,104,2,2.0,1975.0,267000,2571
Cluj-Napoca,Bună Ziua,Casă,157,4,,2020.0,481000,3061
Cluj-Napoca,Bună Ziua,Apartament,82,2,3.0,2007.0,198000,2420
București,Victoriei,Apartament,32,3,9.0,2018.0,75000,2347
București,Titan,Apartament,56,2,0.0,2021.0,80000,1429
București,Băneasa,Apartament,57,2,3.0,2007.0,148000,2602
București,Pipera,Casă,153,4,,1990.0,355000,2322
București,Victoriei,Apartament,124,2,8.0,,294000,2370
Cluj-Napoca,Grigorescu,Apartament,28,1,5.0,1985.0,59000,2095
București,Victoriei,Apartament,76,3,9.0,1973.0,132000,1736
București,Ilfov / Voluntari,Casă,142,5,,2013.0,280000,1969
Cluj-Napoca,Gheorgheni,Apartament,89,2,8.0,2006.0,201000,2259
Cluj-Napoca,Andrei Mureșanu,Apartament,99,3,8.0,2021.0,282000,2851
București,Victoriei,Apartament,50,2,6.0,2020.0,133000,2657
București,Victoriei,Apartament,101,3,4.0,1988.0,189000,1874
Cluj-Napoca,Centru,Apartament,65,2,7.0,2011.0,238000,3663
București,Dorobanți,Casă,188,6,,1987.0,464000,2469
București,Victoriei,Apartament,80,2,9.0,1988.0,148000,1850
Cluj-Napoca,Gheorgheni,Apartament,71,4,8.0,2016.0,202000,2846
București,Aviației,Apartament,43,2,10.0,1995.0,99000,2311
Cluj-Napoca,Dâmbul Rotund,Apartament,44,4,4.0,1996.0,78000,1784
Cluj-Napoca,Florești,Casă,109,5,,1996.0,236000,2168
București,Victoriei,Apartament,81,3,4.0,,206000,2542
București,Aviației,Apartament,57,2,4.0,2021.0,165000,2898
București,Aviației,Apartament,94,3,2.0,1954.0,189000,2010
Cluj-Napoca,Zorilor,Apartament,61,2,5.0,1995.0,176000,2882
București,Dorobanți,Apartament,80,2,5.0,,209000,2617
București,Pipera,Casă,114,4,,2012.0,273000,2399
București,Dorobanți,Casă,167,4,,1996.0,452000,2704
București,Dorobanți,Apartament,82,4,8.0,2018.0,217000,2650
Cluj-Napoca,Grigorescu,Apartament,50,2,1.0,1933.0,93000,1853
Cluj-Napoca,Centru,Apartament,90,2,8.0,2022.0,285000,3172
Cluj-Napoca,Andrei Mureșanu,Apartament,65,2,8.0,2015.0,209000,3214
Cluj-Napoca,Andrei Mureșanu,Apartament,63,2,4.0,1981.0,178000,2828
București,Aviației,Apartament,65,1,9.0,2015.0,169000,2601
București,Victoriei,Apartament,82,2,10.0,1939.0,136000,1662
București,Victoriei,Apartament,41,3,8.0,2002.0,85000,2082
București,Băneasa,Apartament,87,4,8.0,1982.0,182000,2092
Cluj-Napoca,Gheorgheni,Apartament,69,2,3.0,2021.0,212000,3077
București,Aviației,Apartament,40,4,6.0,1990.0,91000,2270
București,Victoriei,Apartament,55,3,3.0,2016.0,153000,2777
Cluj-Napoca,Grigorescu,Apartament,72,3,10.0,1991.0,155000,2158
București,Victoriei,Apartament,57,3,4.0,1986.0,118000,2063
București,Ilfov / Voluntari,Apartament,47,3,6.0,2013.0,90000,1905
București,Drumul Taberei,Apartament,53,2,,2019.0,82000,1540
București,Pipera,Casă,140,3,,1962.0,290000,2075
Cluj-Napoca,Mănăștur,Apartament,71,3,,1989.0,118000,1669
București,Dorobanți,Apartament,59,3,7.0,1966.0,136000,2307
București,Aviației,Apartament,93,2,0.0,2009.0,215000,2316
Cluj-Napoca,Bună Ziua,Apartament,29,4,9.0,2006.0,64000,2224
București,Drumul Taberei,Apartament,65,2,,2021.0,100000,1535
Cluj-Napoca,Andrei Mureșanu,Apartament,43,3,4.0,1993.0,121000,2809
Cluj-Napoca,Grigorescu,Apartament,39,2,8.0,1961.0,75000,1911
București,Ilfov / Voluntari,Casă,105,4,,1981.0,149000,1416
București,Titan,Apartament,78,3,8.0,1999.0,111000,1427
București,Ilfov / Voluntari,Apartament,70,2,3.0,2005.0,103000,1473
Cluj-Napoca,Centru,Apartament,77,2,5.0,1990.0,239000,3107
București,Pipera,Casă,152,3,,1991.0,333000,2192
Cluj-Napoca,Florești,Apartament,64,1,9.0,,137000,2147
București,Dorobanți,Casă,95,5,,1997.0,237000,2494
București,Berceni,Apartament,57,3,2.0,2007.0,73000,1287
